ID,SEX,AGE,RACE,MARITAL,SIBS,CHILDS,HOMPOP,ADULTS,BABIES,EDUC,MAEDUC,PAEDUC,SPEDUC,RINCOME,INCOME,WRKSTAT,YEARSJOB,WRKGOVT,WRKSLF,SPWRKSTA,SATJOB1,HEALTH,HAPPY,VOTE12,VOTE16,PRES12,PRES16,OWNGUN,HELL,HEAVEN,ODDS1,ODDS2
1643,2,71,1,1,3,2,2,2,0,16,14,12,16,0,12,5,-1,1,2,5,0,3,2,1,1,1,1,1,1,1,2,1
1646,1,44,1,3,1,2,2,2,0,12,10,7,0,0,9,7,-1,2,2,0,0,3,2,1,1,2,2,2,1,1,2,2
1648,2,68,1,3,1,2,1,1,0,12,12,12,0,0,12,5,-1,1,2,0,0,1,2,1,1,2,2,2,3,3,2,1
1651,2,43,1,5,2,0,1,1,0,14,17,0,0,11,11,1,7,2,2,0,2,2,2,1,1,1,1,2,3,2,2,1
1655,1,42,1,1,2,4,6,2,2,16,12,12,16,12,12,1,17,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1
1660,1,89,1,3,7,5,1,1,0,8,0,0,0,0,11,5,-1,2,2,0,0,2,2,1,1,1,1,1,1,1,2,1
1662,2,77,1,3,2,2,1,1,0,12,9,9,0,8,10,2,14,2,2,0,2,2,2,1,1,2,2,2,1,2,2,1
1667,2,60,1,2,1,0,1,1,0,13,12,12,0,12,12,1,24,2,2,0,1,3,2,1,1,2,2,1,3,1,2,1
1669,1,43,1,1,2,2,4,2,0,16,13,12,17,12,12,1,19,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1
1671,1,21,1,5,2,0,2,2,0,12,12,0,0,12,12,1,1,1,2,0,1,3,3,3,1,0,3,1,2,2,2,1
1673,1,36,1,1,1,2,4,2,0,16,14,12,17,12,12,1,12,1,2,1,1,2,1,2,2,0,0,2,1,1,2,1
1702,1,58,1,3,2,0,2,2,0,16,12,18,0,12,12,1,30,1,2,0,2,2,2,1,1,1,1,2,1,1,2,2
1704,2,19,2,5,6,0,1,1,0,12,14,12,0,2,3,1,0.25,2,2,0,3,2,2,3,3,0,0,2,3,3,2,1
1706,1,43,1,1,3,4,6,2,0,18,16,18,16,12,12,1,10,2,2,7,1,1,1,1,1,2,3,1,1,1,2,1
1709,2,28,3,1,2,0,2,2,0,19,13,13,16,8,12,6,-1,1,2,1,0,2,2,2,1,0,1,2,4,4,2,1
1712,2,37,1,5,1,2,3,1,0,12,12,0,0,0,4,7,-1,0,0,0,0,3,2,2,2,0,0,2,3,3,2,1
1713,1,31,1,5,1,0,6,2,1,14,10,12,0,0,12,6,-1,1,2,0,0,3,2,2,1,0,1,2,1,1,2,1
1716,1,22,1,5,2,0,1,1,0,14,16,18,0,0,2,6,-1,0,0,0,0,2,2,3,1,0,1,2,3,3,2,1
1719,1,23,1,5,3,2,4,4,0,12,0,12,0,11,12,1,0.25,2,2,0,2,1,2,3,2,0,0,2,2,2,1,1
1721,2,78,1,2,5,3,2,2,0,12,0,12,0,0,12,5,-1,2,2,0,0,3,2,1,1,1,1,1,1,1,2,1
1724,1,27,1,5,8,2,3,3,0,16,12,12,0,12,12,2,5,2,2,0,2,2,2,1,1,1,1,2,3,2,2,1
1726,1,52,1,3,2,1,2,1,0,18,16,14,0,12,12,1,15,2,2,0,1,2,2,1,2,1,0,1,2,2,2,2
1734,2,51,1,1,2,2,3,3,0,12,10,12,10,0,12,5,-1,2,1,1,0,2,1,1,1,1,2,1,1,1,2,1
1736,2,48,1,1,2,2,2,2,0,12,14,12,12,0,12,7,-1,2,2,1,0,2,2,1,1,2,2,1,1,1,1,1
1738,2,59,1,1,1,3,2,2,0,16,14,12,18,11,12,1,9,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1
1748,1,58,1,2,4,2,1,1,0,10,12,12,0,12,12,1,18,2,2,0,2,3,1,1,1,1,2,1,1,1,2,2
1751,2,69,1,3,4,1,1,1,0,12,9,12,0,9,12,1,2,1,2,0,2,2,2,1,1,1,1,2,1,1,2,1
1754,2,73,1,2,7,1,1,1,0,12,0,0,0,12,12,1,49,2,2,0,1,2,2,1,1,1,1,2,3,2,2,2
1757,1,68,1,1,4,2,2,2,0,12,10,8,12,0,11,5,-1,2,2,7,0,2,1,1,1,1,1,1,1,1,2,2
1766,2,23,1,1,6,1,4,3,1,13,20,13,12,0,12,1,0.25,2,2,1,2,4,2,3,2,0,0,2,2,3,2,1
1768,2,26,1,5,8,1,3,2,1,12,16,16,0,12,12,1,3,2,2,0,2,2,2,2,2,0,0,2,1,1,2,1
1772,2,86,1,2,3,5,1,1,0,17,10,9,0,0,12,5,-1,2,2,0,0,2,1,1,1,1,1,2,4,3,2,1
1774,2,54,1,3,4,2,1,1,0,8,12,20,0,0,12,7,-1,2,2,0,0,2,2,1,1,2,2,1,3,3,2,2
1785,2,34,1,1,1,3,5,2,2,16,16,16,16,12,12,3,12,2,2,3,2,2,2,1,2,1,0,1,1,1,2,2
